timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/04/01 19:23:48.553, 22.19 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:48.656, 22.19 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:48.756, 22.19 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:48.856, 22.19 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:48.957, 22.19 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:49.057, 22.19 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:49.157, 22.19 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:49.257, 22.19 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:49.358, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:49.458, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:49.558, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:49.658, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:49.759, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:49.859, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:49.959, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:50.059, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:50.160, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:50.260, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:50.360, 22.22 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:50.460, 22.22 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:50.561, 22.22 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:50.661, 22.22 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:50.761, 22.22 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:50.861, 22.22 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:50.962, 22.22 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:51.062, 22.22 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:51.162, 22.22 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:51.263, 22.22 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:51.363, 22.16 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:51.463, 22.16 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:51.563, 22.16 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:51.664, 22.16 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:51.764, 22.16 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:51.864, 22.16 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:51.964, 22.16 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:52.065, 22.16 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:52.165, 22.16 W, 0 %, 0 %, 19691 MiB, 1, 16
