timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/04/01 21:53:51.356, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:51.463, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:51.563, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:51.664, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:51.764, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:51.864, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:51.964, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:52.065, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:52.165, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:52.265, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:52.366, 109.43 W, 0 %, 0 %, 20645 MiB, 2, 16
2026/04/01 21:53:52.466, 83.03 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:52.566, 83.03 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:52.666, 83.03 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:52.767, 83.03 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:52.867, 83.03 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:52.967, 83.03 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:53.067, 83.03 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:53.168, 83.03 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:53.268, 83.03 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:53.368, 83.03 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:53.468, 40.20 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:53.569, 40.20 W, 0 %, 0 %, 20645 MiB, 1, 16
