timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/04/01 20:57:19.650, 106.40 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:19.754, 106.40 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:19.854, 106.40 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:19.954, 106.40 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:20.054, 106.40 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:20.155, 106.40 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:20.255, 106.44 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:20.355, 106.44 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:20.455, 106.44 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:20.556, 106.44 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:20.656, 106.44 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:20.756, 106.44 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:20.857, 106.44 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:20.957, 106.44 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:21.057, 106.44 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:21.157, 106.44 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:21.258, 106.49 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:21.358, 106.49 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:21.458, 106.49 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:21.558, 106.49 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:21.659, 106.49 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:21.759, 106.49 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:21.859, 106.49 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:21.959, 106.49 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:22.060, 106.49 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:22.160, 106.49 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:22.260, 106.57 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:22.361, 106.57 W, 0 %, 0 %, 19691 MiB, 3, 16
2026/04/01 20:57:22.461, 106.57 W, 0 %, 0 %, 19691 MiB, 3, 16
