timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/03/31 10:49:33.925, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:34.038, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:34.138, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:34.238, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:34.338, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:34.439, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:34.539, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:34.639, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:34.740, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:34.840, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:34.940, 21.95 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:35.040, 22.11 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:35.141, 22.11 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:35.241, 22.11 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:35.341, 22.11 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:35.441, 22.11 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:35.542, 22.11 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:35.642, 22.11 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:35.742, 22.11 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:35.842, 22.11 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:35.943, 22.11 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:36.043, 22.32 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:36.143, 22.32 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:36.244, 22.32 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:36.344, 22.32 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:36.444, 22.32 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:36.544, 22.32 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:36.645, 22.32 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:36.745, 22.32 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:36.845, 22.32 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:36.945, 22.32 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:37.046, 22.21 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:37.146, 22.21 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:37.252, 22.21 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:37.352, 22.21 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:37.453, 22.21 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:49:37.553, 50.06 W, 0 %, 0 %, 19689 MiB, 3, 16
2026/03/31 10:49:37.653, 50.06 W, 0 %, 0 %, 19689 MiB, 3, 16
2026/03/31 10:49:37.753, 50.06 W, 0 %, 0 %, 19689 MiB, 3, 16
2026/03/31 10:49:37.854, 50.06 W, 0 %, 0 %, 19689 MiB, 3, 16
2026/03/31 10:49:37.954, 50.06 W, 0 %, 0 %, 19689 MiB, 3, 16
2026/03/31 10:49:38.054, 151.48 W, 100 %, 44 %, 19689 MiB, 3, 16
2026/03/31 10:49:38.154, 151.48 W, 100 %, 44 %, 19689 MiB, 3, 16
2026/03/31 10:49:38.254, 151.48 W, 100 %, 44 %, 19689 MiB, 3, 16
2026/03/31 10:49:38.354, 151.48 W, 100 %, 44 %, 19689 MiB, 3, 16
2026/03/31 10:49:38.454, 151.48 W, 100 %, 44 %, 19689 MiB, 3, 16
2026/03/31 10:49:38.555, 266.77 W, 100 %, 44 %, 19689 MiB, 3, 16
2026/03/31 10:49:38.655, 266.77 W, 100 %, 44 %, 19689 MiB, 3, 16
2026/03/31 10:49:38.755, 266.77 W, 100 %, 44 %, 19689 MiB, 3, 16
2026/03/31 10:49:38.855, 266.77 W, 100 %, 44 %, 19689 MiB, 3, 16
2026/03/31 10:49:38.955, 266.77 W, 100 %, 44 %, 19689 MiB, 3, 16
2026/03/31 10:49:39.055, 321.27 W, 100 %, 47 %, 19689 MiB, 3, 16
2026/03/31 10:49:39.155, 321.27 W, 100 %, 47 %, 19689 MiB, 3, 16
2026/03/31 10:49:39.256, 321.27 W, 100 %, 47 %, 19689 MiB, 3, 16
2026/03/31 10:49:39.356, 321.27 W, 100 %, 47 %, 19689 MiB, 3, 16
2026/03/31 10:49:39.456, 321.27 W, 100 %, 47 %, 19689 MiB, 3, 16
2026/03/31 10:49:39.556, 322.30 W, 100 %, 47 %, 19689 MiB, 3, 16
2026/03/31 10:49:39.656, 322.30 W, 100 %, 47 %, 19689 MiB, 3, 16
2026/03/31 10:49:39.756, 322.30 W, 100 %, 47 %, 19689 MiB, 3, 16
2026/03/31 10:49:39.856, 322.30 W, 100 %, 47 %, 19689 MiB, 3, 16
2026/03/31 10:49:39.957, 322.30 W, 100 %, 47 %, 19689 MiB, 3, 16
2026/03/31 10:49:40.057, 320.55 W, 100 %, 64 %, 19689 MiB, 3, 16
2026/03/31 10:49:40.157, 320.55 W, 100 %, 64 %, 19689 MiB, 3, 16
2026/03/31 10:49:40.257, 320.55 W, 100 %, 64 %, 19689 MiB, 3, 16
2026/03/31 10:49:40.357, 320.55 W, 100 %, 64 %, 19689 MiB, 3, 16
2026/03/31 10:49:40.457, 320.55 W, 100 %, 64 %, 19689 MiB, 3, 16
2026/03/31 10:49:40.557, 322.05 W, 100 %, 64 %, 19689 MiB, 3, 16
2026/03/31 10:49:40.658, 322.05 W, 100 %, 64 %, 19689 MiB, 3, 16
2026/03/31 10:49:40.758, 322.05 W, 100 %, 64 %, 19689 MiB, 3, 16
2026/03/31 10:49:40.858, 322.05 W, 100 %, 64 %, 19689 MiB, 3, 16
2026/03/31 10:49:40.958, 322.05 W, 100 %, 64 %, 19689 MiB, 3, 16
2026/03/31 10:49:41.058, 321.47 W, 100 %, 63 %, 19689 MiB, 3, 16
2026/03/31 10:49:41.158, 321.47 W, 100 %, 63 %, 19689 MiB, 3, 16
2026/03/31 10:49:41.258, 321.47 W, 100 %, 63 %, 19689 MiB, 3, 16
2026/03/31 10:49:41.359, 321.47 W, 100 %, 63 %, 19689 MiB, 3, 16
2026/03/31 10:49:41.459, 321.47 W, 100 %, 63 %, 19689 MiB, 3, 16
2026/03/31 10:49:41.559, 322.76 W, 100 %, 63 %, 19689 MiB, 3, 16
2026/03/31 10:49:41.659, 322.76 W, 100 %, 63 %, 19689 MiB, 3, 16
2026/03/31 10:49:41.759, 322.76 W, 100 %, 63 %, 19689 MiB, 3, 16
2026/03/31 10:49:41.859, 322.76 W, 100 %, 63 %, 19689 MiB, 3, 16
2026/03/31 10:49:41.959, 322.76 W, 100 %, 63 %, 19689 MiB, 3, 16
2026/03/31 10:49:42.060, 321.72 W, 100 %, 70 %, 19689 MiB, 3, 16
2026/03/31 10:49:42.160, 321.72 W, 100 %, 70 %, 19689 MiB, 3, 16
2026/03/31 10:49:42.260, 321.72 W, 100 %, 70 %, 19689 MiB, 3, 16
2026/03/31 10:49:42.360, 321.72 W, 100 %, 70 %, 19689 MiB, 3, 16
